epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.9261,1.29407,7.18513,0.01557,0.74235,0.61389,0.66629,0.43599,1.23616,1.735,0.02476,0.000414583,0.000414583,0.000414583
2,158.272,1.33203,1.62857,0.01624,0.82474,0.63921,0.74685,0.52163,1.1371,1.03456,0.02376,0.000825764,0.000825764,0.000825764
3,227.605,1.32536,1.42,0.01665,0.6624,0.72443,0.71958,0.50754,1.16913,1.07919,0.02339,0.00123144,0.00123144,0.00123144
4,296.684,1.26425,1.32146,0.0157,0.66987,0.67646,0.70323,0.52088,1.0437,1.08279,0.01796,0.00122525,0.00122525,0.00122525
5,365.829,1.20921,1.20611,0.01476,0.78668,0.68774,0.76048,0.58126,0.89406,0.89819,0.0151,0.001217,0.001217,0.001217
6,435.154,1.18548,1.13014,0.01382,0.75283,0.6947,0.76302,0.58182,0.8483,0.92476,0.0135,0.00120875,0.00120875,0.00120875
7,504.452,1.15263,1.10166,0.01379,0.75376,0.66607,0.73078,0.56837,0.87324,1.01229,0.01423,0.0012005,0.0012005,0.0012005
8,573.64,1.12477,1.05303,0.01324,0.80888,0.78205,0.83829,0.65134,0.88741,0.698,0.01486,0.00119225,0.00119225,0.00119225
9,642.938,1.1147,1.01443,0.01277,0.79178,0.76637,0.81541,0.61636,0.89466,0.82389,0.01525,0.001184,0.001184,0.001184
10,712.072,1.09027,0.98998,0.01214,0.78301,0.78157,0.84751,0.68016,0.78134,0.61801,0.0115,0.00117575,0.00117575,0.00117575
11,781.515,1.05996,0.93958,0.01186,0.69941,0.73358,0.75496,0.60274,0.80877,0.88607,0.01242,0.0011675,0.0011675,0.0011675
12,850.554,1.04894,0.92757,0.01193,0.7564,0.70098,0.76834,0.58642,0.88821,0.86653,0.01534,0.00115925,0.00115925,0.00115925
13,919.737,1.07474,0.9145,0.01175,0.743,0.81609,0.82442,0.64618,0.82417,0.69478,0.01298,0.001151,0.001151,0.001151
14,988.861,1.03423,0.8894,0.01143,0.80739,0.78272,0.85109,0.67766,0.78576,0.67662,0.01189,0.00114275,0.00114275,0.00114275
15,1057.99,1.00038,0.88279,0.01118,0.81387,0.76843,0.83203,0.65813,0.78422,0.6829,0.01191,0.0011345,0.0011345,0.0011345
16,1127.19,1.00091,0.85806,0.0111,0.7757,0.76609,0.79951,0.64839,0.73091,0.7698,0.01043,0.00112625,0.00112625,0.00112625
17,1196.47,1.01135,0.82781,0.01112,0.84962,0.76135,0.83722,0.65027,0.85432,0.74463,0.01419,0.001118,0.001118,0.001118
18,1265.58,1.0081,0.79877,0.01138,0.74972,0.80934,0.81287,0.65126,0.69693,0.73527,0.00991,0.00110975,0.00110975,0.00110975
19,1334.75,0.99815,0.79897,0.01107,0.75745,0.77237,0.82639,0.67629,0.6945,0.71128,0.00989,0.0011015,0.0011015,0.0011015
20,1404.13,0.97986,0.81579,0.01054,0.84686,0.77548,0.84657,0.6816,0.80004,0.66621,0.0131,0.00109325,0.00109325,0.00109325
21,1473.44,0.97767,0.79172,0.01061,0.80668,0.75386,0.83711,0.68365,0.73651,0.67849,0.01062,0.001085,0.001085,0.001085
22,1542.6,0.9704,0.77574,0.01043,0.78569,0.75395,0.83254,0.69112,0.67855,0.70243,0.00951,0.00107675,0.00107675,0.00107675
23,1612.06,0.95692,0.7599,0.01035,0.80931,0.74814,0.82353,0.66598,0.75397,0.72494,0.01134,0.0010685,0.0010685,0.0010685
24,1681.07,0.95819,0.74761,0.01024,0.80047,0.81141,0.86096,0.71165,0.68788,0.58517,0.00972,0.00106025,0.00106025,0.00106025
25,1750.25,0.94643,0.74962,0.00993,0.83124,0.75158,0.83607,0.66916,0.77175,0.67561,0.01178,0.001052,0.001052,0.001052
26,1819.33,0.93437,0.72406,0.00985,0.74266,0.80949,0.84369,0.70154,0.71125,0.61106,0.01041,0.00104375,0.00104375,0.00104375
27,1888.46,0.94265,0.71919,0.01013,0.86293,0.79467,0.84986,0.69322,0.77657,0.55488,0.0112,0.0010355,0.0010355,0.0010355
28,1957.52,0.93641,0.71233,0.00983,0.80973,0.79431,0.84153,0.69447,0.69519,0.66568,0.00927,0.00102725,0.00102725,0.00102725
29,2026.81,0.93485,0.69106,0.00988,0.87332,0.80716,0.86899,0.71443,0.75186,0.56306,0.01161,0.001019,0.001019,0.001019
30,2095.98,0.92801,0.69316,0.00984,0.8532,0.75817,0.85569,0.71305,0.69716,0.60989,0.00972,0.00101075,0.00101075,0.00101075
31,2165.05,0.92711,0.70825,0.0099,0.82354,0.79643,0.85965,0.71769,0.71044,0.60785,0.01022,0.0010025,0.0010025,0.0010025
32,2234.4,0.90975,0.66614,0.0095,0.81841,0.7944,0.84181,0.69694,0.75615,0.64105,0.01219,0.00099425,0.00099425,0.00099425
33,2303.6,0.90423,0.6689,0.00935,0.86424,0.78545,0.88361,0.73884,0.67707,0.55324,0.00959,0.000986,0.000986,0.000986
34,2372.97,0.8996,0.65614,0.00965,0.85423,0.84909,0.89032,0.7378,0.67749,0.53085,0.0095,0.00097775,0.00097775,0.00097775
35,2442.16,0.89712,0.64822,0.00954,0.84241,0.77785,0.85975,0.70616,0.70819,0.54543,0.00963,0.0009695,0.0009695,0.0009695
36,2511.25,0.898,0.64814,0.00925,0.79761,0.80885,0.86928,0.72742,0.67018,0.58927,0.00894,0.00096125,0.00096125,0.00096125
37,2580.4,0.88663,0.6174,0.00915,0.82459,0.81646,0.86153,0.72465,0.66295,0.56503,0.00925,0.000953,0.000953,0.000953
38,2649.51,0.87011,0.64184,0.00895,0.8354,0.80194,0.85611,0.73007,0.62606,0.558,0.00822,0.00094475,0.00094475,0.00094475
39,2718.79,0.85702,0.61828,0.00884,0.79547,0.83639,0.86754,0.72755,0.65398,0.6069,0.00836,0.0009365,0.0009365,0.0009365
40,2787.89,0.8611,0.61173,0.00897,0.78987,0.84083,0.87499,0.73117,0.68596,0.52556,0.00906,0.00092825,0.00092825,0.00092825
41,2856.97,0.87715,0.62193,0.00922,0.81867,0.79343,0.82651,0.69753,0.63369,0.7528,0.00806,0.00092,0.00092,0.00092
42,2926.27,0.85422,0.59764,0.00876,0.87387,0.79323,0.87337,0.72838,0.66057,0.57879,0.00856,0.00091175,0.00091175,0.00091175
43,2995.63,0.85721,0.58672,0.00883,0.88563,0.81349,0.88611,0.75136,0.63315,0.49498,0.00846,0.0009035,0.0009035,0.0009035
44,3064.83,0.84001,0.58787,0.00839,0.83995,0.74899,0.86203,0.72666,0.62039,0.64264,0.00793,0.00089525,0.00089525,0.00089525
45,3133.93,0.85546,0.5627,0.00859,0.8673,0.75749,0.86672,0.73619,0.64317,0.55187,0.00806,0.000887,0.000887,0.000887
46,3203.22,0.8569,0.58317,0.00862,0.85105,0.83452,0.87877,0.74224,0.64723,0.49955,0.00855,0.00087875,0.00087875,0.00087875
47,3272.54,0.84976,0.56673,0.00837,0.83004,0.7899,0.85962,0.73172,0.64918,0.52088,0.00858,0.0008705,0.0008705,0.0008705
48,3341.8,0.83395,0.55241,0.00863,0.8422,0.83158,0.86732,0.74114,0.60784,0.51651,0.00759,0.00086225,0.00086225,0.00086225
49,3411.05,0.82763,0.53041,0.00851,0.84225,0.8516,0.88375,0.73651,0.65353,0.52262,0.00876,0.000854,0.000854,0.000854
50,3480.46,0.82254,0.54245,0.0085,0.86133,0.8162,0.87637,0.73778,0.66253,0.50236,0.00857,0.00084575,0.00084575,0.00084575
51,3549.56,0.8063,0.5221,0.00827,0.81976,0.78247,0.85349,0.72636,0.65346,0.67817,0.00899,0.0008375,0.0008375,0.0008375
52,3618.9,0.8327,0.55061,0.00839,0.87419,0.84083,0.87061,0.73237,0.6452,0.51063,0.00812,0.00082925,0.00082925,0.00082925
53,3688.18,0.8214,0.5393,0.00817,0.84841,0.83857,0.88121,0.74145,0.64256,0.48688,0.00831,0.000821,0.000821,0.000821
54,3757.6,0.81356,0.52959,0.00811,0.89575,0.83063,0.88316,0.74277,0.6317,0.48898,0.00797,0.00081275,0.00081275,0.00081275
55,3826.96,0.7989,0.51431,0.00795,0.86775,0.84306,0.89004,0.75984,0.62072,0.46648,0.00809,0.0008045,0.0008045,0.0008045
56,3896.2,0.79161,0.50599,0.00804,0.84576,0.78367,0.85693,0.73169,0.64129,0.6676,0.00843,0.00079625,0.00079625,0.00079625
57,3965.57,0.7976,0.51351,0.00799,0.84753,0.82423,0.87302,0.73862,0.64307,0.54874,0.00845,0.000788,0.000788,0.000788
58,4034.75,0.78296,0.4985,0.00778,0.77442,0.83493,0.87003,0.74074,0.59924,0.5564,0.00751,0.00077975,0.00077975,0.00077975
59,4103.82,0.78157,0.49137,0.00787,0.84529,0.81091,0.87009,0.74395,0.60064,0.57299,0.00743,0.0007715,0.0007715,0.0007715
60,4173.22,0.79469,0.50176,0.00819,0.86893,0.80536,0.88553,0.75782,0.6463,0.46462,0.0087,0.00076325,0.00076325,0.00076325
61,4242.69,0.78841,0.492,0.00772,0.86702,0.81483,0.89029,0.75954,0.63734,0.50537,0.00832,0.000755,0.000755,0.000755
62,4312.03,0.78082,0.48328,0.0079,0.88242,0.85186,0.88201,0.75187,0.62505,0.4681,0.00797,0.00074675,0.00074675,0.00074675
63,4381.41,0.76581,0.46436,0.00762,0.83705,0.83139,0.87845,0.74435,0.62977,0.51957,0.00808,0.0007385,0.0007385,0.0007385
64,4450.53,0.78078,0.48564,0.00792,0.90592,0.80146,0.8887,0.7427,0.64447,0.4881,0.00814,0.00073025,0.00073025,0.00073025
65,4519.72,0.75414,0.44954,0.00778,0.83046,0.82524,0.85536,0.74106,0.60108,0.52106,0.00748,0.000722,0.000722,0.000722
66,4589.07,0.75716,0.44509,0.00752,0.8343,0.81236,0.88076,0.74521,0.61892,0.53485,0.00747,0.00071375,0.00071375,0.00071375
67,4658.53,0.76267,0.45553,0.00755,0.76889,0.84601,0.87544,0.73967,0.61477,0.55638,0.00758,0.0007055,0.0007055,0.0007055
68,4727.79,0.75139,0.45597,0.0075,0.85329,0.78183,0.8719,0.74823,0.6238,0.54843,0.00797,0.00069725,0.00069725,0.00069725
69,4796.97,0.74661,0.43379,0.00738,0.88035,0.80794,0.8768,0.75229,0.61244,0.47193,0.00762,0.000689,0.000689,0.000689
70,4866.19,0.73993,0.44036,0.00736,0.8811,0.82129,0.88667,0.76426,0.59708,0.47646,0.00694,0.00068075,0.00068075,0.00068075
71,4935.6,0.74987,0.43739,0.00725,0.8411,0.82116,0.87384,0.73897,0.61894,0.53845,0.00735,0.0006725,0.0006725,0.0006725
72,5004.68,0.76125,0.44768,0.00728,0.8355,0.82027,0.87049,0.74507,0.61739,0.54541,0.00752,0.00066425,0.00066425,0.00066425
73,5073.95,0.72423,0.42413,0.007,0.88674,0.82438,0.8769,0.75164,0.62198,0.51195,0.00749,0.000656,0.000656,0.000656
74,5143.1,0.7227,0.41753,0.00705,0.85708,0.77956,0.86175,0.73422,0.6323,0.60462,0.00773,0.00064775,0.00064775,0.00064775
75,5212.39,0.73658,0.42232,0.00708,0.92465,0.77856,0.87417,0.7443,0.63272,0.48731,0.00759,0.0006395,0.0006395,0.0006395
76,5281.62,0.73475,0.41479,0.0071,0.83419,0.82223,0.87505,0.74051,0.63092,0.50738,0.00785,0.00063125,0.00063125,0.00063125
77,5350.73,0.72316,0.41694,0.00705,0.86779,0.80529,0.86918,0.74342,0.61994,0.5288,0.00744,0.000623,0.000623,0.000623
78,5420.15,0.72323,0.41296,0.00702,0.8392,0.80608,0.86362,0.73621,0.63205,0.5427,0.00781,0.00061475,0.00061475,0.00061475
79,5489.48,0.70025,0.39441,0.00693,0.80884,0.81133,0.86118,0.72552,0.63836,0.62579,0.00762,0.0006065,0.0006065,0.0006065
80,5558.75,0.70846,0.40936,0.00702,0.90187,0.82424,0.88153,0.74693,0.63718,0.46915,0.00798,0.00059825,0.00059825,0.00059825
81,5627.76,0.71184,0.40951,0.00698,0.87355,0.85406,0.89328,0.7553,0.62242,0.47904,0.00752,0.00059,0.00059,0.00059
82,5697.14,0.69811,0.39199,0.00678,0.88793,0.81389,0.87456,0.74529,0.63465,0.49906,0.0077,0.00058175,0.00058175,0.00058175
83,5766.46,0.67844,0.38548,0.00668,0.82052,0.8475,0.87862,0.74106,0.62914,0.52076,0.0076,0.0005735,0.0005735,0.0005735
84,5835.64,0.69355,0.38577,0.00674,0.87657,0.80659,0.88796,0.75048,0.6003,0.52145,0.00714,0.00056525,0.00056525,0.00056525
85,5904.93,0.70046,0.38626,0.0067,0.86961,0.8334,0.88847,0.74942,0.629,0.49416,0.00765,0.000557,0.000557,0.000557
86,5974.38,0.69713,0.38196,0.0067,0.91095,0.86854,0.88141,0.75375,0.60929,0.51991,0.00724,0.00054875,0.00054875,0.00054875
87,6043.7,0.68937,0.38538,0.00668,0.87634,0.81782,0.87835,0.74668,0.63342,0.50587,0.00804,0.0005405,0.0005405,0.0005405
88,6113.02,0.67353,0.37584,0.00659,0.86768,0.83365,0.88035,0.74837,0.63122,0.50625,0.00815,0.00053225,0.00053225,0.00053225
89,6182.2,0.68323,0.36827,0.00666,0.8719,0.85977,0.88915,0.75341,0.61143,0.46907,0.00715,0.000524,0.000524,0.000524
90,6251.55,0.67943,0.36696,0.00652,0.89098,0.82925,0.89204,0.75388,0.61148,0.50218,0.00731,0.00051575,0.00051575,0.00051575
91,6320.8,0.67587,0.36651,0.00648,0.9016,0.83484,0.88752,0.75115,0.61354,0.49086,0.00725,0.0005075,0.0005075,0.0005075
92,6390.1,0.67543,0.35568,0.00651,0.94298,0.82134,0.89344,0.75978,0.62607,0.42842,0.00739,0.00049925,0.00049925,0.00049925
93,6459.38,0.65011,0.35682,0.0063,0.90463,0.83637,0.89307,0.75552,0.63235,0.47839,0.00792,0.000491,0.000491,0.000491
94,6528.73,0.6531,0.35477,0.00633,0.84169,0.85894,0.88702,0.74966,0.63349,0.5049,0.00776,0.00048275,0.00048275,0.00048275
95,6598.11,0.64517,0.35361,0.00626,0.88026,0.79346,0.86655,0.74182,0.62336,0.57857,0.00769,0.0004745,0.0004745,0.0004745
96,6667.41,0.64892,0.3488,0.00644,0.89313,0.79398,0.88236,0.74619,0.62252,0.5579,0.00763,0.00046625,0.00046625,0.00046625
97,6736.52,0.63697,0.33983,0.00621,0.8466,0.8102,0.85856,0.72545,0.61431,0.64793,0.00733,0.000458,0.000458,0.000458
98,6805.95,0.64611,0.3395,0.00611,0.8361,0.84528,0.87708,0.74926,0.62356,0.5717,0.00754,0.00044975,0.00044975,0.00044975
99,6875.26,0.6446,0.34344,0.00603,0.92228,0.83024,0.88192,0.75857,0.61742,0.46937,0.00759,0.0004415,0.0004415,0.0004415
100,6944.56,0.64807,0.33218,0.00613,0.89951,0.80311,0.87598,0.7493,0.61451,0.52878,0.00724,0.00043325,0.00043325,0.00043325
101,7013.98,0.64272,0.34179,0.00607,0.82785,0.85724,0.87663,0.75005,0.61022,0.54455,0.007,0.000425,0.000425,0.000425
102,7083.26,0.6461,0.34282,0.00629,0.86231,0.8412,0.87274,0.74205,0.62055,0.5032,0.00728,0.00041675,0.00041675,0.00041675
103,7152.63,0.61644,0.32552,0.00595,0.8754,0.82324,0.87454,0.73704,0.61169,0.57386,0.00707,0.0004085,0.0004085,0.0004085
104,7221.89,0.6299,0.33213,0.00593,0.87713,0.8516,0.87507,0.73997,0.61405,0.55775,0.00725,0.00040025,0.00040025,0.00040025
105,7291.35,0.62047,0.32667,0.00582,0.8927,0.83423,0.88282,0.74807,0.59313,0.52959,0.00686,0.000392,0.000392,0.000392
106,7360.55,0.6124,0.32644,0.00589,0.90432,0.82052,0.86829,0.74049,0.62388,0.5197,0.00741,0.00038375,0.00038375,0.00038375
107,7429.62,0.60803,0.32762,0.00596,0.92371,0.84966,0.89311,0.75308,0.60711,0.47329,0.007,0.0003755,0.0003755,0.0003755
108,7498.85,0.61784,0.32698,0.00576,0.91399,0.80956,0.87687,0.7437,0.62752,0.49585,0.00735,0.00036725,0.00036725,0.00036725
109,7567.99,0.60433,0.31553,0.00569,0.8911,0.8238,0.87518,0.74365,0.62007,0.49695,0.00718,0.000359,0.000359,0.000359
110,7637.2,0.59655,0.30846,0.0056,0.90148,0.85096,0.8848,0.7554,0.61797,0.49193,0.00728,0.00035075,0.00035075,0.00035075
111,7706.48,0.60163,0.30325,0.00564,0.89704,0.83208,0.88488,0.7444,0.63501,0.51593,0.00757,0.0003425,0.0003425,0.0003425
112,7775.77,0.61256,0.31036,0.00572,0.86531,0.8043,0.86451,0.7287,0.62517,0.57844,0.00738,0.00033425,0.00033425,0.00033425
113,7844.99,0.59056,0.30401,0.00573,0.88602,0.82112,0.87433,0.73422,0.63033,0.54244,0.00752,0.000326,0.000326,0.000326
114,7914.25,0.60195,0.30629,0.0059,0.8308,0.81928,0.85935,0.72977,0.6201,0.59448,0.00726,0.00031775,0.00031775,0.00031775
115,7983.41,0.58474,0.29651,0.00539,0.85379,0.80303,0.86586,0.73531,0.626,0.58809,0.00737,0.0003095,0.0003095,0.0003095
116,8052.86,0.60346,0.30878,0.00564,0.86762,0.81014,0.86021,0.73722,0.61085,0.58564,0.00715,0.00030125,0.00030125,0.00030125
117,8122.15,0.59886,0.30314,0.00555,0.87702,0.80966,0.8689,0.74766,0.59964,0.54397,0.00703,0.000293,0.000293,0.000293
118,8191.61,0.58591,0.29021,0.00551,0.87199,0.81305,0.86968,0.74226,0.62105,0.52306,0.00743,0.00028475,0.00028475,0.00028475
119,8260.99,0.57488,0.29039,0.00538,0.8675,0.82437,0.8762,0.74174,0.6298,0.51456,0.0075,0.0002765,0.0002765,0.0002765
120,8330.22,0.56928,0.28416,0.00549,0.87934,0.8109,0.85318,0.73436,0.61422,0.56359,0.00722,0.00026825,0.00026825,0.00026825
121,8399.47,0.58089,0.29224,0.00551,0.88536,0.81786,0.85137,0.73199,0.61497,0.55187,0.0073,0.00026,0.00026,0.00026
122,8468.76,0.56863,0.28461,0.00544,0.88039,0.81055,0.86037,0.73384,0.60599,0.57598,0.007,0.00025175,0.00025175,0.00025175
123,8538.05,0.57118,0.29173,0.0054,0.87231,0.8183,0.86428,0.73696,0.6007,0.60808,0.00693,0.0002435,0.0002435,0.0002435
124,8607.26,0.56204,0.2831,0.00537,0.90509,0.79081,0.87246,0.74304,0.61892,0.55118,0.00721,0.00023525,0.00023525,0.00023525
125,8676.47,0.56162,0.28569,0.00536,0.87814,0.82992,0.8819,0.74362,0.62208,0.58488,0.00748,0.000227,0.000227,0.000227
126,8745.83,0.55773,0.28132,0.0052,0.82418,0.84899,0.86582,0.73667,0.63034,0.59621,0.00761,0.00021875,0.00021875,0.00021875
127,8814.95,0.55906,0.27712,0.0051,0.8445,0.82879,0.86336,0.73525,0.62394,0.63484,0.00721,0.0002105,0.0002105,0.0002105
128,8884.23,0.55242,0.26586,0.00518,0.8751,0.81107,0.87261,0.73747,0.6374,0.60987,0.00758,0.00020225,0.00020225,0.00020225
129,8953.7,0.55188,0.27541,0.00505,0.87955,0.80433,0.86767,0.73476,0.63307,0.5786,0.00745,0.000194,0.000194,0.000194
130,9023.09,0.54479,0.26479,0.00506,0.86197,0.82264,0.86181,0.73515,0.62077,0.62492,0.00723,0.00018575,0.00018575,0.00018575
